obcina,leto,Employment rate,Employment rate for men,Employment rate for women
metlika,2010,61.2,66.9,55.2
metlika,2011,60,66.1,53.4
metlika,2012,57.2,62.2,51.7
metlika,2013,56.6,60.8,51.9
metlika,2014,57.3,62.6,51.4
metlika,2015,58.7,64.4,52.5
metlika,2016,60.4,66,54.1
metlika,2017,64.1,70,57.6
metlika,2018,67.1,72,61.5
metlika,2019,69.3,74.7,63
metlika,2020,68.4,73.5,62.4
metlika,2021,70.2,75.8,63.7
metlika,2022,72.4,77.4,66.6
metlika,2023,72.5,76.7,67.5
mežica,2002,51.2,53.5,48.5
mežica,2003,50.9,54.4,47.3
mežica,2004,51.2,55.5,46.7
mežica,2005,53.7,58.4,48.8
mežica,2006,54.1,58.9,49
mežica,2007,55.4,59.9,50.6
mežica,2008,57.3,60.4,54
mežica,2009,56.1,58.9,53
mežica,2010,53,56,49.6
mežica,2011,53.4,57.3,49
mežica,2012,54.4,57.9,50.3
mežica,2013,53.7,57.3,49.6
mežica,2014,54.3,58.3,49.8
mežica,2015,55.2,59.1,50.7
mežica,2016,55.8,59.5,51.6
mežica,2017,57.2,61.6,52.1
mežica,2018,60.1,64.6,55
mežica,2019,61.4,66.3,55.6
mežica,2020,60.3,64.3,55.5
mežica,2021,62.6,66.6,57.9
mežica,2022,65.8,70.1,60.6
mežica,2023,64.8,67.7,61.4
miklavž na dravskem polju,2002,50.7,56.2,45.9
miklavž na dravskem polju,2003,51.6,57.1,46.1
miklavž na dravskem polju,2004,52.1,57.4,46.7
miklavž na dravskem polju,2005,54.1,60.3,47.9
miklavž na dravskem polju,2006,55.1,62,48.3
miklavž na dravskem polju,2007,57.1,63.2,50.8
miklavž na dravskem polju,2008,59.9,66.3,53.2
miklavž na dravskem polju,2009,59,64.8,53.1
miklavž na dravskem polju,2010,56.9,61.7,52.1
miklavž na dravskem polju,2011,56.3,60,52.5
miklavž na dravskem polju,2012,55.4,58.5,52.2
miklavž na dravskem polju,2013,55.1,58,52.3
miklavž na dravskem polju,2014,56.1,58.8,53.3
miklavž na dravskem polju,2015,57.3,59.6,55
miklavž na dravskem polju,2016,58.9,61,56.8
miklavž na dravskem polju,2017,60.3,62.2,58.2
miklavž na dravskem polju,2018,61.8,63.1,60.4
miklavž na dravskem polju,2019,63.2,64.9,61.2
miklavž na dravskem polju,2020,62,63.1,60.7
miklavž na dravskem polju,2021,62,63.6,60.2
miklavž na dravskem polju,2022,64.6,67.2,61.4
miklavž na dravskem polju,2023,65,67.8,61.6
miren - kostanjevica,2002,56.3,60,52.3
miren - kostanjevica,2003,55.6,59.4,51.6
miren - kostanjevica,2004,55.4,59.2,51.3
miren - kostanjevica,2005,57.5,61.9,52.9
miren - kostanjevica,2006,57.9,62.1,53.5
miren - kostanjevica,2007,59.6,64.1,54.9
miren - kostanjevica,2008,60.9,65,56.4
miren - kostanjevica,2009,60.1,65.4,54.2
miren - kostanjevica,2010,57.1,60.9,52.9
miren - kostanjevica,2011,55.8,58.3,53.2
miren - kostanjevica,2012,55.3,58.2,52.3
miren - kostanjevica,2013,54.7,56.9,52.4
miren - kostanjevica,2014,55.4,58,52.5
miren - kostanjevica,2015,56.6,59.1,53.9
miren - kostanjevica,2016,57.7,59.3,55.9
miren - kostanjevica,2017,61.5,63.6,59.1
miren - kostanjevica,2018,64.6,66.8,62.1
miren - kostanjevica,2019,66.6,69.8,63.1
miren - kostanjevica,2020,67.3,70.4,63.9
miren - kostanjevica,2021,67.7,70.1,65
miren - kostanjevica,2022,69.3,71.7,66.5
miren - kostanjevica,2023,70.4,72.5,68.1
mirna,2002,-,-,-
mirna,2003,-,-,-
mirna,2004,-,-,-
mirna,2005,-,-,-
mirna,2006,-,-,-
mirna,2007,-,-,-
mirna,2008,-,-,-
mirna,2009,-,-,-
mirna,2010,-,-,-
mirna,2011,-,-,-
mirna,2012,59.6,64.5,54.6
mirna,2013,59.3,63.6,54.9
mirna,2014,60.5,65.5,55.4
mirna,2015,63.2,67.3,59
mirna,2016,64.4,67.4,61.3
mirna,2017,68,71.9,64
mirna,2018,72.6,77.1,67.8
mirna,2019,72.8,76.1,69.3
mirna,2020,71.6,74.5,68.4
mirna,2021,73.3,75.8,70.7
mirna,2022,74.1,77.9,70.1
mirna,2023,75.2,78.8,71.5
mirna peč,2002,60.7,64.7,56
mirna peč,2003,59.2,64.1,53.8
mirna peč,2004,59.8,63.8,55.4
mirna peč,2005,63.4,67.6,58.7
mirna peč,2006,62.6,67.2,57.5
mirna peč,2007,64.5,68.4,60
mirna peč,2008,65.2,69.1,60.7
mirna peč,2009,65.4,70,60.2
mirna peč,2010,63.8,69.1,58
mirna peč,2011,62.8,66.8,58.5
mirna peč,2012,62,65.9,57.6
mirna peč,2013,61.8,64.7,58.7
mirna peč,2014,62.7,67.4,57.7
mirna peč,2015,64.7,68.5,60.6
mirna peč,2016,63.2,64.4,61.9
mirna peč,2017,65.9,68.4,63.3
mirna peč,2018,68.2,71.1,65.1
mirna peč,2019,68.8,71.3,66.2
mirna peč,2020,69.2,71.6,66.7
mirna peč,2021,70.5,73.1,67.7
mirna peč,2022,70.9,73.4,68.3
mirna peč,2023,71.8,74.4,68.9
mislinja,2002,56.5,62.3,50
mislinja,2003,55.2,61.1,48.9
mislinja,2004,55.8,61.7,49.4
mislinja,2005,57.7,63.6,51.2
mislinja,2006,58,63.5,52.1
mislinja,2007,59.2,64.4,53.4
mislinja,2008,60.6,65.8,54.8
mislinja,2009,60.1,64.9,55
mislinja,2010,59,63.9,53.6
mislinja,2011,58.3,63.3,52.8
mislinja,2012,60,66.1,53.1
mislinja,2013,59.9,65.4,53.7
mislinja,2014,59.8,66.5,52.5
mislinja,2015,59.4,65.2,53.1
mislinja,2016,60,64.8,54.8
mislinja,2017,63,67.1,58.4
mislinja,2018,65.6,69.8,61
mislinja,2019,67.2,70.9,63.3
mislinja,2020,68,70.2,65.6
mislinja,2021,69.8,72.7,66.6
mislinja,2022,70.9,74.7,66.8
mislinja,2023,71.2,74.7,67.5
mokronog - trebelno,2002,-,-,-
mokronog - trebelno,2003,-,-,-
mokronog - trebelno,2004,-,-,-
mokronog - trebelno,2005,-,-,-
mokronog - trebelno,2006,-,-,-
mokronog - trebelno,2007,66.4,72.2,59.7
mokronog - trebelno,2008,66.8,73.1,59.8
mokronog - trebelno,2009,65.6,72.9,57.4
mokronog - trebelno,2010,62.9,71.8,53.2
mokronog - trebelno,2011,62.9,71.5,53.5
mokronog - trebelno,2012,59.6,67.5,50.8
mokronog - trebelno,2013,60.2,66.7,52.9
mokronog - trebelno,2014,60.9,68.3,52.8
mokronog - trebelno,2015,61.9,69.1,54
mokronog - trebelno,2016,62.5,68.1,56.4
mokronog - trebelno,2017,65.8,70.2,61
mokronog - trebelno,2018,68.1,72,63.7
mokronog - trebelno,2019,69.1,72.5,65.2
mokronog - trebelno,2020,71,74.9,66.7
mokronog - trebelno,2021,71.1,75.3,66.5
mokronog - trebelno,2022,72.4,76.7,67.6
mokronog - trebelno,2023,72.6,77.2,67.5
moravske toplice,2002,58.8,64.1,53.5
moravske toplice,2003,56.1,60.6,51.3
moravske toplice,2004,56.7,61.2,51.9
moravske toplice,2005,55.3,59.6,50.7
moravske toplice,2006,55,58.7,50.8
moravske toplice,2007,58.9,64.6,52.5
moravske toplice,2008,60,65.6,53.6
moravske toplice,2009,57.9,63.8,51.1
moravske toplice,2010,55.2,62.6,46.9
moravske toplice,2011,56.8,62.9,50.1
moravske toplice,2012,55.5,61.1,49.3
moravske toplice,2013,55.9,61,50.3
moravske toplice,2014,55.4,61.1,49.2
moravske toplice,2015,53.9,58.9,48.3
moravske toplice,2016,54.9,58.9,50.4
moravske toplice,2017,57.5,61.6,52.9
moravske toplice,2018,60,63.4,56.2
moravske toplice,2019,61,64.2,57.4
moravske toplice,2020,60.7,64.1,56.9
moravske toplice,2021,62.1,65,58.9
moravske toplice,2022,64.6,67.5,61.3
moravske toplice,2023,65.8,68.9,62.4
moravče,2002,61.9,68,54.9
moravče,2003,61.1,67,54.6
moravče,2004,61.1,66.3,55.5
moravče,2005,64.4,70.2,57.9
moravče,2006,64.1,70.3,57.4
moravče,2007,65.3,71.1,59
moravče,2008,65.6,71.1,59.7
moravče,2009,64.3,69.7,58.5
moravče,2010,62.7,68.1,57
moravče,2011,63.2,68.8,57.3
moravče,2012,63.6,69.7,57.2
moravče,2013,63.7,69.8,57.3
moravče,2014,64.2,71.5,56.7
moravče,2015,65.1,72.1,58
moravče,2016,65.5,71,59.8
moravče,2017,67.2,72.8,61.6
moravče,2018,69.3,75.1,63.4
moravče,2019,70.2,75.6,64.7
moravče,2020,69.6,74.6,64.6
moravče,2021,70.7,75.4,65.9
moravče,2022,71.4,75.5,67.2
moravče,2023,72,75.8,68.1
mozirje,2002,59.2,64.7,53.2
mozirje,2003,58.9,64.7,52.9
mozirje,2004,59.5,65.6,53
mozirje,2005,59.6,66,52.9
mozirje,2006,60.2,66.2,54
mozirje,2007,62.8,69.8,55.4
mozirje,2008,64,70.9,56.8
mozirje,2009,62.4,68.6,55.9
mozirje,2010,62.1,68.3,55.4
mozirje,2011,61.8,68.1,55.1
mozirje,2012,62.9,69.8,55.7
mozirje,2013,61.4,66.1,56.3
mozirje,2014,59.9,63.6,55.8
mozirje,2015,60.3,64.4,56
mozirje,2016,61.9,65,58.8
mozirje,2017,64,67.5,60.5
mozirje,2018,67.5,71.8,63.2
mozirje,2019,68.6,72.5,64.7
mozirje,2020,68.8,72.6,65.1
mozirje,2021,71.9,76.9,66.9
mozirje,2022,72.9,77.7,68
mozirje,2023,73.5,79.1,67.6
murska sobota,2002,54.6,56.2,53.2
murska sobota,2003,53.8,55.8,51.9
murska sobota,2004,53.6,55.6,51.7
murska sobota,2005,53.9,55.9,52
murska sobota,2006,54.5,57.1,52
murska sobota,2007,55.2,58.2,52.4
murska sobota,2008,56.4,59.3,53.7
murska sobota,2009,54.4,57.4,51.5
murska sobota,2010,51.4,55,47.9
murska sobota,2011,51.4,54.1,48.7
murska sobota,2012,51.2,53.9,48.7
murska sobota,2013,50.6,52.9,48.3
murska sobota,2014,50.7,53.6,47.9
murska sobota,2015,51.1,53.2,49
murska sobota,2016,52.8,54.7,51
murska sobota,2017,54.9,57,52.8
murska sobota,2018,56.8,58.5,55.2
murska sobota,2019,58.1,59.9,56.2
murska sobota,2020,58.7,60.8,56.5
murska sobota,2021,60,62.1,57.9
murska sobota,2022,62.2,64.1,60.2
murska sobota,2023,63,65.1,60.9
muta,2002,52.4,57.1,47.1
muta,2003,50.4,55.1,45.2
muta,2004,50.5,54.6,45.8
muta,2005,53.9,57.9,49.4
muta,2006,54.8,59.1,50
muta,2007,56.5,60.7,51.9
muta,2008,58.7,62.8,54.1
muta,2009,56.8,60.2,53
muta,2010,53.8,58.8,48.2
muta,2011,53.3,58.5,47.6
muta,2012,55.1,61.8,47.9
muta,2013,53.1,59.9,45.9
muta,2014,54.2,61.2,46.7
muta,2015,54.5,60.3,48.4
muta,2016,55.4,60.4,50.2
muta,2017,56.7,61,52.2
muta,2018,59.1,62.5,55.4
muta,2019,59.8,63.2,56
muta,2020,61.3,64.2,58.1
muta,2021,62.4,64.6,60
muta,2022,63.6,66.5,60.5
muta,2023,64.5,67.1,61.7
naklo,2002,56.7,60.6,52.5
naklo,2003,56.7,61.1,52
naklo,2004,58.2,62.7,53.5
naklo,2005,60.4,64.9,55.7
naklo,2006,59.5,63.9,54.8
naklo,2007,61,66.4,55.4
naklo,2008,61.6,66.5,56.5
naklo,2009,61.1,65.7,56.2
naklo,2010,59.5,63.8,54.9
naklo,2011,58.2,61.8,54.4
naklo,2012,58,62,53.8
naklo,2013,58.1,61.4,54.6
naklo,2014,59.2,61.8,56.3
naklo,2015,60.6,63.6,57.4
naklo,2016,63.3,66.8,59.7
naklo,2017,65.2,68.1,62.2
naklo,2018,67.1,70.7,63.2
naklo,2019,69.2,73.3,64.6
naklo,2020,69.1,72.6,65.2
naklo,2021,70.6,74.7,66
naklo,2022,72.8,77,68
naklo,2023,72.6,76.1,68.8
nazarje,2002,60.1,64.2,55.7
nazarje,2003,58.8,62.7,54.8
nazarje,2004,58.5,62.2,54.5
nazarje,2005,59.4,62.5,56
nazarje,2006,59.8,62.5,56.9
nazarje,2007,60.9,64,57.6
nazarje,2008,63.1,65.7,60.4
nazarje,2009,60.4,64.3,56.3
nazarje,2010,58.8,63.5,53.8
nazarje,2011,61.8,67.9,55.3
nazarje,2012,61.5,67.5,54.9
nazarje,2013,61.9,67,56.3
nazarje,2014,61.9,67.9,55.1
nazarje,2015,61.7,67.7,54.8
nazarje,2016,63.5,69.6,56.7
nazarje,2017,66.5,72.3,59.9
nazarje,2018,66,71.1,60.4
nazarje,2019,66.9,70.8,62.5
nazarje,2020,70.4,74.6,65.7
nazarje,2021,74.1,78.5,69.1
nazarje,2022,74.1,78.5,69.1
nazarje,2023,74.2,80.1,67.3
nova gorica,2002,59.1,63.1,54.5
nova gorica,2003,58,62.2,53.4
nova gorica,2004,57.4,61.5,53.1
nova gorica,2005,59.5,63.7,55
nova gorica,2006,60.9,65.9,55.6
nova gorica,2007,64.1,70.3,57.5
nova gorica,2008,65.9,72.1,59.1
nova gorica,2009,62.8,68,57.3
nova gorica,2010,60,64.3,55.4
nova gorica,2011,58.2,61.9,54.1
nova gorica,2012,56.9,60.1,53.5
nova gorica,2013,55.8,58.5,52.9
nova gorica,2014,57.3,60,54.3
nova gorica,2015,58.5,61.4,55.3
nova gorica,2016,60.6,63.4,57.6
nova gorica,2017,63.1,65.9,60
nova gorica,2018,66,69.5,62.2
nova gorica,2019,67.5,70.6,64
nova gorica,2020,67.5,70.4,64.3
nova gorica,2021,68.6,71.5,65.4
nova gorica,2022,71,74.2,67.4
nova gorica,2023,71.6,74.6,68.2
novo mesto,2002,59.3,63.5,54.7
novo mesto,2003,58.6,63.1,53.9
novo mesto,2004,58.8,63.5,54
novo mesto,2005,60.5,65.4,55.4
novo mesto,2006,61.1,66.1,55.8
novo mesto,2007,63.1,69.1,56.9
novo mesto,2008,64.8,71.2,57.9
novo mesto,2009,64.1,70.3,57.4
novo mesto,2010,62.6,68.5,56.2
novo mesto,2011,61.4,66.1,56.4
novo mesto,2012,59.7,63.7,55.5
novo mesto,2013,58.9,62.6,55
novo mesto,2014,60.1,64.3,55.7
novo mesto,2015,61.2,65.1,57
novo mesto,2016,62.3,66,58.4
novo mesto,2017,65.8,70.4,61
novo mesto,2018,68.5,73.4,63.3
novo mesto,2019,70.2,75.2,64.7
novo mesto,2020,69,72.5,65
novo mesto,2021,69.5,73,65.7
novo mesto,2022,70.1,73.4,66.5
novo mesto,2023,70.4,73.6,66.9
odranci,2002,52.6,59.6,45.3
odranci,2003,51,58.1,43
odranci,2004,53.2,61.7,43.5
odranci,2005,52.9,62.1,42.8
odranci,2006,54.8,64.5,43.8
odranci,2007,58,66.4,48.4
odranci,2008,60.1,67.3,51.9
odranci,2009,58.8,67.4,49.1
odranci,2010,54.4,63.7,43.9
odranci,2011,58.7,66.8,49.6
odranci,2012,54.6,58.8,49.8
odranci,2013,54.9,59.6,49.6
odranci,2014,55.5,61,49.4
odranci,2015,55.6,60.8,49.8
odranci,2016,57.5,62.1,52.6
odranci,2017,62.1,68.5,55.3
odranci,2018,64.7,71.2,57.7
odranci,2019,67,73.1,60.3
odranci,2020,69.3,76.5,61.4
odranci,2021,72.3,79.3,64.9
odranci,2022,74.5,81,67.5
odranci,2023,80.6,86.1,74.6
oplotnica,2002,53.3,59.2,47.1
oplotnica,2003,52.6,58.8,46
oplotnica,2004,52.9,58.8,46.5
oplotnica,2005,55.1,61.6,48.1
oplotnica,2006,55.6,61.7,49.1
oplotnica,2007,58.2,64.4,51.6
oplotnica,2008,60.1,66,53.8
oplotnica,2009,59.2,64.8,53
oplotnica,2010,58.6,65,51.7
oplotnica,2011,58.9,63.9,53.5
oplotnica,2012,58.2,63.2,52.8
oplotnica,2013,59,63.5,54
oplotnica,2014,60.1,65.8,53.9
oplotnica,2015,60.8,67,54
oplotnica,2016,61.6,66.8,55.9
oplotnica,2017,65,70.1,59.4
oplotnica,2018,66.6,70.4,62.3
oplotnica,2019,67.5,71,63.8
oplotnica,2020,68.4,71.7,64.8
oplotnica,2021,69.3,72.1,66.2
oplotnica,2022,70.7,72.9,68.2
oplotnica,2023,71.4,73.9,68.6
ormož,2002,55.6,61.7,49.1
ormož,2003,54.2,60.2,48
ormož,2004,55.5,61.2,49.5
ormož,2005,54.2,59.6,48.4
ormož,2006,55.8,61.4,49.8
ormož,2007,58.4,64.1,52.3
ormož,2008,61.8,67.4,55.6
ormož,2009,60.4,66.5,53.7
ormož,2010,57.7,63.6,51.2
ormož,2011,58.7,64.6,52.2
ormož,2012,55.4,60.7,49.7
ormož,2013,56.6,60.8,51.9
ormož,2014,58.5,64.8,51.5
ormož,2015,58.7,65.1,51.7
ormož,2016,58.7,63.2,53.8
ormož,2017,60.2,65.6,54.3
ormož,2018,62.3,67,57.1
ormož,2019,64.7,68,61
ormož,2020,64,65.9,61.9
ormož,2021,64.1,66.5,61.5
ormož,2022,66.6,68.6,64.4
ormož,2023,68,69.7,66
osilnica,2002,46.8,55.2,36.3
osilnica,2003,47.8,55.1,36.5
osilnica,2004,45.9,52.8,35.6
osilnica,2005,53.2,58.8,44.6
osilnica,2006,54.7,61,45.5
osilnica,2007,58,64.6,48.6
osilnica,2008,59.8,67.8,48.4
osilnica,2009,58,66.9,45.6
osilnica,2010,48.8,59.8,33.6
osilnica,2011,48.7,60.6,32
osilnica,2012,43.3,52.6,30
osilnica,2013,42.5,52.7,27.8
osilnica,2014,40.9,52.9,23.7
osilnica,2015,41.6,52.1,27.2
osilnica,2016,41.4,51.4,28.4
osilnica,2017,44.6,56.7,28.7
osilnica,2018,44.8,59,25.9
osilnica,2019,44.7,57.2,27.9
osilnica,2020,48.5,60.7,31.5
osilnica,2021,48.5,59.1,34.4
osilnica,2022,54.1,64.4,40.6
osilnica,2023,55.3,65.7,42.2
pesnica,2002,48.9,55.1,42.6
pesnica,2003,48.3,55.1,41.1
pesnica,2004,49.4,55.9,42.4
pesnica,2005,52.8,59.5,45.6
pesnica,2006,53.9,60.5,46.8
pesnica,2007,56.2,63.3,48.6
pesnica,2008,59.2,66.3,51.4
pesnica,2009,57.6,64.8,49.7
pesnica,2010,55.4,62.1,48
pesnica,2011,55.3,61.1,49
pesnica,2012,53.7,58.6,48.5
pesnica,2013,53.4,57.4,49
pesnica,2014,53,57.3,48.2
pesnica,2015,52.7,56.5,48.6
pesnica,2016,52.6,56,48.9
pesnica,2017,53.8,57.1,50
pesnica,2018,56.2,58.6,53.4
pesnica,2019,57.4,60.6,53.7
pesnica,2020,58,60.1,55.5
pesnica,2021,58.2,60,56
pesnica,2022,61,64,57.3
pesnica,2023,61.2,63.5,58.4
piran/pirano,2002,54.4,55.5,53.2
piran/pirano,2003,54.4,55.9,52.9
piran/pirano,2004,54.2,56,52.4
piran/pirano,2005,56.6,58.4,54.7
piran/pirano,2006,57.5,59.6,55.3
piran/pirano,2007,58.8,61.7,55.9
piran/pirano,2008,60.2,63.3,57
piran/pirano,2009,60,63.6,56.3
piran/pirano,2010,58.7,61.9,55.3
piran/pirano,2011,57.5,60.1,54.9
piran/pirano,2012,56.5,59.1,53.7
piran/pirano,2013,54.3,57.1,51.4
piran/pirano,2014,54.9,58.3,51.4
piran/pirano,2015,55.9,59.5,52.1
piran/pirano,2016,57.8,61.4,54.1
piran/pirano,2017,60.7,64.4,56.9
piran/pirano,2018,62.9,66.4,59.3
piran/pirano,2019,64.2,67.4,60.9
piran/pirano,2020,62.7,65.5,59.8
piran/pirano,2021,64.2,67.4,60.7
piran/pirano,2022,66.2,69.9,62.4
piran/pirano,2023,66.8,70.5,62.8
pivka,2002,59.1,65.9,51.8
pivka,2003,58.8,65.8,51.1
pivka,2004,59.4,66.6,51.4
pivka,2005,60.6,66.8,53.8
pivka,2006,62.4,68.2,56
pivka,2007,63.4,69.3,56.9
pivka,2008,64.5,71.2,57.3
pivka,2009,63.5,69.6,56.8
pivka,2010,61.8,67.7,55.4
pivka,2011,60.1,65.6,54
pivka,2012,62,68.4,54.9
pivka,2013,61,67.5,53.7
pivka,2014,62.5,69.7,54.6
pivka,2015,62.6,69.2,55.3
pivka,2016,62.4,68,56.2
pivka,2017,65.4,70.7,59.4
pivka,2018,68.2,73.9,61.7
pivka,2019,69.3,73.9,63.8
pivka,2020,69.3,74,63.7
pivka,2021,69.9,74.6,64.5
pivka,2022,72.1,76.6,66.8
pivka,2023,73.7,77.6,69.2
podlehnik,2002,47.7,53.2,41.4
podlehnik,2003,47.9,52.8,42.2
podlehnik,2004,48.2,54,41.4
podlehnik,2005,53.6,58.9,47.4
podlehnik,2006,54.2,59.4,48.3
podlehnik,2007,56.6,62.5,49.8
podlehnik,2008,60,67.1,51.8
podlehnik,2009,60.8,67.7,52.8
podlehnik,2010,59,65.7,51.2
podlehnik,2011,58.5,63.3,52.8
podlehnik,2012,57.2,62.3,51.3
podlehnik,2013,56.9,61,52.2
podlehnik,2014,58.3,63.2,52.6
podlehnik,2015,58.9,64.4,52.8
podlehnik,2016,57,59.5,54
podlehnik,2017,57.5,59,55.6
podlehnik,2018,59.9,61.5,58
podlehnik,2019,64.1,66.9,61
podlehnik,2020,62.8,65.9,59.3
podlehnik,2021,63,67.2,58.2
podlehnik,2022,65.6,69.7,60.9
podlehnik,2023,66.8,71.4,61.5
podvelka,2002,46.5,55.7,36.1
podvelka,2003,45.5,55.3,34.5
podvelka,2004,47.4,58,35.6
podvelka,2005,48.6,59.9,35.9
podvelka,2006,50.2,62.2,36.7
podvelka,2007,53.2,65.1,39.9
podvelka,2008,55.8,66.1,44
podvelka,2009,54.1,62.6,44.2
podvelka,2010,50.7,59.7,40
podvelka,2011,50.3,58,41
podvelka,2012,49.2,56.8,40.2
podvelka,2013,47.4,54.1,39.5
podvelka,2014,49.1,57.3,39.4
podvelka,2015,49,56.9,39.9
podvelka,2016,50.6,58.6,41.3
podvelka,2017,52.6,59.9,44.2
podvelka,2018,53.8,60.4,46.3
podvelka,2019,54,60.2,47
podvelka,2020,57.9,62.4,52.7
podvelka,2021,58.7,63.2,53.5
podvelka,2022,59.9,64.5,54.7
podvelka,2023,62.2,66,57.8
podčetrtek,2002,57.9,64.3,50.9
podčetrtek,2003,55.3,62,48
podčetrtek,2004,56.8,64.6,48.4
podčetrtek,2005,56.2,64.8,47
podčetrtek,2006,56.6,66.2,46.4
podčetrtek,2007,59.3,67.9,50.3
podčetrtek,2008,61.7,69.6,53.2
podčetrtek,2009,60.9,68.9,52.1
podčetrtek,2010,59.5,67.8,50.6
podčetrtek,2011,61,68.9,52.4
podčetrtek,2012,59.4,68,50.2
podčetrtek,2013,60.4,68.3,51.7
podčetrtek,2014,61.4,71.2,50.7
podčetrtek,2015,60.6,68.1,52.5
podčetrtek,2016,61,67.3,54.2
podčetrtek,2017,64.8,72.2,56.7
podčetrtek,2018,67.5,73.7,60.8
podčetrtek,2019,70.1,75.7,63.9
podčetrtek,2020,70,74.4,65.2
podčetrtek,2021,70.3,75.2,64.9
podčetrtek,2022,73,77.5,68
podčetrtek,2023,74.3,77.5,70.7
poljčane,2002,-,-,-
poljčane,2003,-,-,-
poljčane,2004,-,-,-
poljčane,2005,-,-,-
poljčane,2006,-,-,-
poljčane,2007,57,63.7,50
poljčane,2008,59,65.2,52.7
poljčane,2009,56.6,61.8,51.1
poljčane,2010,55.5,59.9,51
poljčane,2011,55.7,59.7,51.5
poljčane,2012,55.3,60.8,49.7
poljčane,2013,54.5,58.7,50.1
poljčane,2014,55.8,60.1,51.3
poljčane,2015,55.6,59.5,51.5
poljčane,2016,57.3,60.7,53.7
poljčane,2017,60.2,63,57.3
poljčane,2018,61.8,64.4,59.1
poljčane,2019,62.3,64.8,59.6
poljčane,2020,62.2,63.9,60.4
poljčane,2021,63.6,65.4,61.8
poljčane,2022,65.9,68.1,63.6
poljčane,2023,66.4,68.7,64
polzela,2002,56.5,60.9,52.1
polzela,2003,56.1,60.5,51.6
polzela,2004,56.7,62.4,50.9
polzela,2005,59.1,65.6,52.4
polzela,2006,59.6,66.5,52.8
polzela,2007,61.5,68.4,54.6
polzela,2008,62.5,69.2,55.6
polzela,2009,61.8,67.7,55.7
polzela,2010,60.7,65.3,56
polzela,2011,60.1,64,56.1
polzela,2012,59.5,62.5,56.3
polzela,2013,58.8,61.4,56
polzela,2014,58.8,62.1,55.4
polzela,2015,59.5,63,55.9
polzela,2016,61,63.3,58.6
polzela,2017,63.4,66.1,60.6
polzela,2018,65.8,69.5,62
polzela,2019,66.7,69.4,64
polzela,2020,68.1,70.5,65.6
polzela,2021,69.3,72.3,66
polzela,2022,70,72.3,67.5
polzela,2023,71.1,73.5,68.6
postojna,2002,59.5,66.1,52.4
postojna,2003,59.8,66.8,52.3
postojna,2004,59.6,66.3,52.4
postojna,2005,62.3,69.5,54.7
postojna,2006,63.1,69.6,56
postojna,2007,65.2,72.3,57.5
postojna,2008,65.7,71.5,59.2
postojna,2009,64.7,70,58.7
postojna,2010,63.2,68.1,57.8
postojna,2011,61.3,65.6,56.6
postojna,2012,59.9,63.8,55.7
postojna,2013,59.1,62.6,55.4
postojna,2014,60.2,64.4,55.7
postojna,2015,61.4,65.3,57.2
postojna,2016,62.8,66.9,58.4
postojna,2017,65.3,69.9,60.3
postojna,2018,68.3,73.1,63.3
postojna,2019,69.6,74.5,64.3
postojna,2020,69.1,74.1,63.6
postojna,2021,69.9,74.6,64.8
postojna,2022,73.7,79.4,67.2
postojna,2023,74.3,79.8,67.8
prebold,2002,54.4,59.2,49.6
prebold,2003,51.9,58.1,45.8
prebold,2004,52.2,58.3,46.1
prebold,2005,52.8,59.6,46
prebold,2006,54.8,60.8,48.8
prebold,2007,57.9,64.4,51.5
prebold,2008,60.6,66.3,54.7
prebold,2009,61.4,68,54.6
prebold,2010,60.2,64.9,55.4
prebold,2011,60.7,64.9,56.3
prebold,2012,60.4,63.3,57.4
prebold,2013,59.1,62.4,55.7
prebold,2014,59.4,62.7,55.9
prebold,2015,60.8,64.5,56.9
prebold,2016,62.1,64.7,59.4
prebold,2017,64.2,66.8,61.5
prebold,2018,67.3,71,63.6
prebold,2019,69.8,74.1,65.4
prebold,2020,69.5,73.3,65.4
prebold,2021,70.6,74.4,66.4
prebold,2022,72.2,75.7,68.3
prebold,2023,72.1,75.9,67.9
preddvor,2002,57.9,62.5,52.9
preddvor,2003,57.2,61.8,52.4
preddvor,2004,58.3,63.3,53
preddvor,2005,60.7,67,54.4
preddvor,2006,61,67.6,54.1
preddvor,2007,62.4,68.4,56.2
preddvor,2008,63.7,69.8,57.2
preddvor,2009,62.4,68,56.3
preddvor,2010,61.9,66.6,56.8
preddvor,2011,61.1,65.8,56.2
preddvor,2012,61.2,66.7,55.5
preddvor,2013,61.4,66.6,55.9
preddvor,2014,64.5,68.6,60.1
preddvor,2015,66,69.8,62.1
preddvor,2016,66.9,69.4,64.3
preddvor,2017,68.5,71.9,64.9
preddvor,2018,70.6,74.5,66.5
preddvor,2019,70.9,74.3,67.3
preddvor,2020,71.2,73.9,68.3
preddvor,2021,70.9,73.2,68.5
preddvor,2022,72.7,75,70.3
preddvor,2023,73.3,75.6,70.9
prevalje,2002,52.8,57.2,47.9
prevalje,2003,51.6,56,46.9
prevalje,2004,52.7,57.8,47.3
prevalje,2005,55.5,61.7,48.8
prevalje,2006,55.9,62.8,48.4
prevalje,2007,57.6,64.4,50.4
prevalje,2008,59.4,65.8,52.3
prevalje,2009,58.6,64.3,52.5
prevalje,2010,55.9,60.9,50.3
prevalje,2011,56,61.8,49.7
prevalje,2012,55.2,60.7,49.1
