obcina,leto,Employment rate,Employment rate for men,Employment rate for women
dol pri ljubljani,2022,70.6,73.8,67.4
dol pri ljubljani,2023,71,74,67.9
dolenjske toplice,2002,61.1,66.1,55.3
dolenjske toplice,2003,61,66.2,55.4
dolenjske toplice,2004,61.6,66.6,56.2
dolenjske toplice,2005,63,67.9,57.7
dolenjske toplice,2006,62.9,67.8,57.6
dolenjske toplice,2007,65.4,69.8,60.6
dolenjske toplice,2008,65.1,69.3,60.5
dolenjske toplice,2009,63.5,67.8,58.9
dolenjske toplice,2010,62.4,66.4,58
dolenjske toplice,2011,59.5,62.7,56.1
dolenjske toplice,2012,58.1,61.2,54.8
dolenjske toplice,2013,58,61.1,54.7
dolenjske toplice,2014,59.9,63.9,55.6
dolenjske toplice,2015,62.1,66.6,57.1
dolenjske toplice,2016,63.8,68.1,59.1
dolenjske toplice,2017,66.1,70.3,61.7
dolenjske toplice,2018,68.5,72.5,64.4
dolenjske toplice,2019,71.6,76,66.9
dolenjske toplice,2020,70.2,73.7,66.4
dolenjske toplice,2021,70.5,73.8,66.9
dolenjske toplice,2022,70.5,74,66.7
dolenjske toplice,2023,70.3,73.7,66.6
domžale,2002,59.2,62.7,55.5
