obcina,leto,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women
bovec,2012,88.8,91.8,85.3,68.2,66.8,70,31.8,33.2,30
bovec,2013,88.6,91.7,84.6,65.6,64.7,66.7,34.4,35.3,33.3
bovec,2014,88.9,90.5,86.9,66.3,64.2,68.9,33.7,35.8,31.1
bovec,2015,90.2,93.7,85.8,67.3,66.3,68.6,32.7,33.7,31.4
bovec,2016,93.9,98.2,88.9,68.8,67.8,69.9,31.2,32.2,30.1
bovec,2017,95.7,99.5,91.3,68.8,67.7,69.9,31.2,32.3,30.1
bovec,2018,95.2,100.2,89.4,68.5,68.7,68.2,31.5,31.3,31.8
bovec,2019,96.5,100.1,92,67.2,66.9,67.6,32.8,33.1,32.4
bovec,2020,94.3,99.6,88.1,63.7,63.9,63.5,36.3,36.1,36.5
bovec,2021,96.7,102.5,90.3,64.3,64.7,64,35.7,35.3,36
bovec,2022,103.8,109.2,97.7,67.3,67.5,67.1,32.7,32.5,32.9
bovec,2023,102.1,106.5,96.8,67.3,68.7,65.7,32.7,31.3,34.3
bovec,2024,105.6,108.2,102.5,69.4,69.8,68.8,30.6,30.2,31.2
braslovče,2000,32.7,39.6,24.7,16.1,18.5,13.3,83.9,81.5,86.7
braslovče,2001,32.2,37.8,25.5,16.2,19,12.8,83.8,81,87.2
braslovče,2002,32,37.8,25.1,16.4,19.5,12.8,83.6,80.5,87.2
braslovče,2003,34.8,40.1,28.3,16.8,19.7,13.3,83.2,80.3,86.7
braslovče,2004,34.8,40.6,27.7,17.1,19.4,14.3,82.9,80.6,85.7
braslovče,2005,31.8,37.9,24.2,16.3,19,13.1,83.7,81,86.9
braslovče,2006,34,40.4,26.3,17.6,21.1,13.5,82.4,78.9,86.5
braslovče,2007,35.1,42.1,26.6,17.7,21.7,12.8,82.3,78.3,87.2
braslovče,2008,34.7,41,27.1,17.8,21.7,13.3,82.2,78.3,86.7
braslovče,2009,34.8,40.7,28,17.9,21.5,13.6,82.1,78.5,86.4
braslovče,2010,34.5,39.3,28.7,17.8,21.4,13.4,82.2,78.6,86.6
braslovče,2011,35.1,40,29.3,17.6,21.1,13.5,82.4,78.9,86.5
braslovče,2012,34.9,40.7,28.2,17.6,21.6,13.1,82.4,78.4,86.9
braslovče,2013,37.3,44.2,29.6,18.5,22.5,13.9,81.5,77.5,86.1
braslovče,2014,38.1,45,30.1,18.8,22.7,14.4,81.2,77.3,85.6
braslovče,2015,37.9,44.7,30.1,18.5,22,14.7,81.5,78,85.3
braslovče,2016,37.3,44.7,29,18.1,21.9,13.9,81.9,78.1,86.1
braslovče,2017,37,44.2,28.9,17.8,21.6,13.4,82.2,78.4,86.6
braslovče,2018,37.6,45.2,28.9,17.5,21.5,12.9,82.5,78.5,87.1
braslovče,2019,37.8,45.1,29.4,17.5,21,13.4,82.5,79,86.6
braslovče,2020,40,48.8,30.2,17.9,21.7,13.7,82.1,78.3,86.3
braslovče,2021,42.1,50.1,32.8,18.3,21.8,14.2,81.7,78.2,85.8
