obcina,leto,Natural increase,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population
celje,2000,-81,-214,123,-172,-3.5
celje,2001,-88,-211,184,-115,-2.3
celje,2002,-139,-261,44,-356,-7.2
celje,2003,-171,-152,117,-206,-4.2
celje,2004,-104,-141,157,-88,-1.8
celje,2005,-8,-137,273,128,2.6
celje,2006,-26,-96,332,210,4.3
celje,2007,26,-176,601,451,9.2
celje,2008,86,-535,752,303,6.2
celje,2009,73,-476,230,-173,-3.5
celje,2010,121,-254,-58,-191,-3.9
celje,2011,123,-98,28,53,1.1
celje,2012,81,-115,58,24,0.5
celje,2013,127,-186,249,190,3.9
celje,2014,76,-113,-56,-93,-1.9
celje,2015,70,108,119,297,6.1
celje,2016,45,90,162,297,6
celje,2017,-49,19,29,-1,0
celje,2018,-27,-475,597,95,1.9
celje,2019,-95,-319,483,69,1.4
celje,2020,-159,-856,521,-494,-10.1
celje,2021,-143,-188,-21,-352,-7.2
celje,2022,-102,-225,473,146,3
celje,2023,-92,33,561,502,10.2
cerklje na gorenjskem,1995,21,29,-1,49,...
cerklje na gorenjskem,1996,42,12,1,55,...
cerklje na gorenjskem,1997,37,31,-3,65,10.7
cerklje na gorenjskem,1998,6,51,2,59,9.6
cerklje na gorenjskem,1999,28,25,4,57,9.1
cerklje na gorenjskem,2000,17,1,-10,8,1.3
cerklje na gorenjskem,2001,28,50,11,89,14.1
cerklje na gorenjskem,2002,17,33,6,56,8.7
cerklje na gorenjskem,2003,8,6,3,17,2.6
cerklje na gorenjskem,2004,29,44,-6,67,10.3
cerklje na gorenjskem,2005,32,38,33,103,15.7
cerklje na gorenjskem,2006,39,13,28,80,12
cerklje na gorenjskem,2007,7,33,41,81,12.1
cerklje na gorenjskem,2008,31,17,65,113,16.6
cerklje na gorenjskem,2009,41,65,55,161,23.2
cerklje na gorenjskem,2010,37,57,5,99,14
cerklje na gorenjskem,2011,46,10,26,82,11.5
cerklje na gorenjskem,2012,38,-1,18,55,7.6
cerklje na gorenjskem,2013,42,61,3,106,14.5
cerklje na gorenjskem,2014,27,-5,-7,15,2
cerklje na gorenjskem,2015,26,111,5,142,19.2
cerklje na gorenjskem,2016,15,43,4,62,8.2
cerklje na gorenjskem,2017,-4,27,25,48,6.3
cerklje na gorenjskem,2018,-23,25,12,14,1.8
cerklje na gorenjskem,2019,1,94,41,136,17.6
cerklje na gorenjskem,2020,-26,56,61,91,11.7
cerklje na gorenjskem,2021,-3,33,9,39,5
cerklje na gorenjskem,2022,-24,-58,26,-56,-7.1
cerklje na gorenjskem,2023,-31,-8,8,-31,-4
cerknica,1995,6,26,-1,31,...
cerknica,1996,2,5,8,15,...
cerknica,1997,7,50,5,62,6.1
cerknica,1998,-6,43,4,41,4
cerknica,1999,-1,60,11,70,6.8
cerknica,2000,-4,65,7,68,6.6
cerknica,2001,-20,31,44,55,5.3
cerknica,2002,-9,46,29,66,6.3
cerknica,2003,-5,63,27,85,8
cerknica,2004,5,48,29,82,7.7
cerknica,2005,7,80,31,118,10.9
cerknica,2006,-2,11,39,48,4.4
cerknica,2007,4,29,128,161,14.6
cerknica,2008,21,-5,105,121,11
cerknica,2009,-13,16,159,162,14.6
cerknica,2010,-9,57,-13,35,3.1
cerknica,2011,31,44,36,111,9.8
cerknica,2012,2,-40,-27,-65,-5.7
cerknica,2013,2,13,14,29,2.6
cerknica,2014,-12,112,-8,92,8.1
cerknica,2015,-13,63,-34,16,1.4
cerknica,2016,-12,66,37,91,7.9
cerknica,2017,-12,10,-2,-4,-0.3
cerknica,2018,-19,33,54,68,5.9
cerknica,2019,-42,30,35,23,2
cerknica,2020,-44,25,132,113,9.7
cerknica,2021,-23,31,5,13,1.1
cerknica,2022,-39,44,56,61,5.2
cerknica,2023,-50,63,69,82,6.9
cerkno,1995,12,10,1,23,...
cerkno,1996,2,-18,0,-16,...
cerkno,1997,-5,11,0,6,1.2
cerkno,1998,-2,-19,-5,-26,-5
cerkno,1999,-6,-9,0,-15,-2.9
cerkno,2000,-11,-7,-2,-20,-3.9
cerkno,2001,-2,-8,-3,-13,-2.5
cerkno,2002,-24,-9,-1,-34,-6.7
cerkno,2003,-17,-11,1,-27,-5.3
cerkno,2004,-1,-14,1,-14,-2.8
cerkno,2005,-1,-18,2,-17,-3.4
cerkno,2006,0,-21,-3,-24,-4.8
cerkno,2007,0,-21,6,-15,-3
cerkno,2008,10,-79,8,-61,-12.7
cerkno,2009,22,-79,18,-39,-8.2
cerkno,2010,14,-34,16,-4,-0.8
cerkno,2011,7,0,21,28,5.9
cerkno,2012,14,-44,12,-18,-3.8
cerkno,2013,4,-77,17,-56,-11.7
cerkno,2014,14,-42,-15,-43,-9.1
cerkno,2015,8,-46,-2,-40,-8.6
cerkno,2016,9,-38,-13,-42,-9.1
cerkno,2017,20,-36,2,-14,-3
cerkno,2018,8,-30,14,-8,-1.7
cerkno,2019,17,-66,16,-33,-7.2
cerkno,2020,1,-15,10,-4,-0.9
cerkno,2021,11,-17,7,1,0.2
cerkno,2022,1,-34,4,-29,-6.4
cerkno,2023,-5,-72,14,-63,-14.1
cerkvenjak,1995,-,-,-,-,...
cerkvenjak,1996,-,-,-,-,...
cerkvenjak,1997,-,-,-,-,-
cerkvenjak,1998,-,-,-,-,-
cerkvenjak,1999,4,2,1,7,3.3
cerkvenjak,2000,-5,2,-2,-5,-2.3
cerkvenjak,2001,0,3,-1,2,0.9
cerkvenjak,2002,9,-3,-3,3,1.4
cerkvenjak,2003,-8,7,-1,-2,-0.9
cerkvenjak,2004,-12,-5,-1,-18,-8.5
cerkvenjak,2005,-7,-11,-1,-19,-9
cerkvenjak,2006,-10,17,7,14,6.7
cerkvenjak,2007,-4,-12,16,0,0
cerkvenjak,2008,-6,-3,-20,-29,-14.1
cerkvenjak,2009,5,-9,-8,-12,-5.9
cerkvenjak,2010,-14,-9,9,-14,-6.8
cerkvenjak,2011,2,-26,-3,-27,-13.5
cerkvenjak,2012,-2,10,-11,-3,-1.5
cerkvenjak,2013,-7,18,-5,6,3
cerkvenjak,2014,-4,43,3,42,20.7
cerkvenjak,2015,2,-11,-5,-14,-6.8
cerkvenjak,2016,14,4,13,31,15.2
cerkvenjak,2017,-4,-50,18,-36,-17.4
cerkvenjak,2018,10,-27,40,23,11.2
cerkvenjak,2019,-1,-8,35,26,12.5
cerkvenjak,2020,-3,53,35,85,39.2
cerkvenjak,2021,0,24,-6,18,8.4
cerkvenjak,2022,2,-21,47,28,12.7
cerkvenjak,2023,4,11,15,30,13.5
cirkulane,1995,-,-,-,-,...
cirkulane,1996,-,-,-,-,...
cirkulane,1997,-,-,-,-,-
cirkulane,1998,-,-,-,-,-
cirkulane,1999,-,-,-,-,-
cirkulane,2000,-,-,-,-,-
cirkulane,2001,-,-,-,-,-
cirkulane,2002,-,-,-,-,-
cirkulane,2003,-,-,-,-,-
cirkulane,2004,-,-,-,-,-
cirkulane,2005,-,-,-,-,-
cirkulane,2006,-,-,-,-,-
cirkulane,2007,3,25,-22,6,2.6
cirkulane,2008,-13,-33,36,-10,-4.4
cirkulane,2009,-15,4,10,-1,-0.4
cirkulane,2010,-5,7,-20,-18,-7.8
cirkulane,2011,-7,-3,10,0,0
cirkulane,2012,-3,31,-10,18,7.8
cirkulane,2013,2,25,6,33,14.3
cirkulane,2014,-5,8,-7,-4,-1.7
cirkulane,2015,-8,-30,-13,-51,-22.1
cirkulane,2016,-2,61,-5,54,23.5
