obcina,leto,Basic or less,Education - TOTAL,Tertiary,Upper secondary
duplek,2012,1599,5739,730,3410
duplek,2013,1563,5757,780,3414
duplek,2014,1534,5770,858,3378
duplek,2015,1511,5778,885,3382
duplek,2016,1437,5731,928,3366
duplek,2017,1374,5773,1007,3392
duplek,2018,1349,5824,1040,3435
duplek,2019,1293,5833,1061,3479
duplek,2020,1272,5883,1092,3519
duplek,2021,1258,5882,1131,3493
duplek,2022,1255,5929,1171,3503
duplek,2023,1244,5956,1174,3538
duplek,2024,1217,5962,1214,3531
gorenja vas - poljane,2011,1929,5775,807,3039
gorenja vas - poljane,2012,1869,5780,890,3021
gorenja vas - poljane,2013,1847,5789,922,3020
gorenja vas - poljane,2014,1804,5809,982,3023
gorenja vas - poljane,2015,1772,5830,1025,3033
gorenja vas - poljane,2016,1717,5876,1094,3065
gorenja vas - poljane,2017,1667,5917,1151,3099
gorenja vas - poljane,2018,1624,5956,1215,3117
gorenja vas - poljane,2019,1531,5952,1241,3180
gorenja vas - poljane,2020,1496,5970,1262,3212
gorenja vas - poljane,2021,1466,6061,1315,3280
gorenja vas - poljane,2022,1455,6081,1345,3281
gorenja vas - poljane,2023,1433,6069,1353,3283
gorenja vas - poljane,2024,1423,6106,1410,3273
gorišnica,2011,1100,3392,355,1937
gorišnica,2012,1069,3407,405,1933
gorišnica,2013,1037,3415,420,1958
gorišnica,2014,1020,3378,451,1907
gorišnica,2015,979,3360,490,1891
gorišnica,2016,957,3369,520,1892
gorišnica,2017,939,3369,549,1881
gorišnica,2018,909,3415,571,1935
gorišnica,2019,886,3463,584,1993
gorišnica,2020,847,3490,611,2032
gorišnica,2021,826,3540,627,2087
gorišnica,2022,799,3552,664,2089
gorišnica,2023,780,3559,680,2099
gorišnica,2024,775,3554,697,2082
gorje,2011,603,2481,370,1508
gorje,2012,571,2454,391,1492
gorje,2013,559,2432,390,1483
gorje,2014,527,2409,418,1464
gorje,2015,517,2386,438,1431
gorje,2016,496,2386,468,1422
gorje,2017,485,2366,498,1383
gorje,2018,471,2341,507,1363
gorje,2019,462,2334,512,1360
gorje,2020,448,2333,522,1363
gorje,2021,438,2378,561,1379
gorje,2022,425,2371,585,1361
gorje,2023,423,2367,598,1346
gorje,2024,408,2346,594,1344
gornja bistrica,2011,254,614,52,308
gornja bistrica,2012,248,622,61,313
gornja bistrica,2013,233,614,63,318
gornja bistrica,2014,225,607,67,315
gornja bistrica,2015,224,622,73,325
gornja bistrica,2016,220,628,79,329
gornja bistrica,2017,211,610,81,318
gornja bistrica,2018,207,622,84,331
gornja bistrica,2019,206,625,85,334
gornja bistrica,2020,203,631,88,340
gornja bistrica,2021,204,644,92,348
gornja bistrica,2022,197,649,98,354
gornja bistrica,2023,187,625,94,344
gornja bistrica,2024,176,628,97,355
gornja radgona,2011,2669,7498,936,3893
gornja radgona,2012,2534,7504,1022,3948
gornja radgona,2013,2483,7484,1041,3960
gornja radgona,2014,2417,7420,1092,3911
gornja radgona,2015,2330,7411,1139,3942
gornja radgona,2016,2261,7378,1173,3944
gornja radgona,2017,2196,7353,1258,3899
gornja radgona,2018,2113,7293,1282,3898
gornja radgona,2019,2048,7297,1309,3940
gornja radgona,2020,1991,7310,1342,3977
gornja radgona,2021,1974,7368,1373,4021
gornja radgona,2022,1919,7363,1389,4055
gornja radgona,2023,1869,7345,1399,4077
gornja radgona,2024,1876,7384,1417,4091
gornji grad,2011,903,2303,236,1164
gornji grad,2012,871,2292,244,1177
gornji grad,2013,837,2273,259,1177
gornji grad,2014,812,2250,282,1156
gornji grad,2015,781,2215,291,1143
gornji grad,2016,748,2192,294,1150
gornji grad,2017,752,2196,321,1123
gornji grad,2018,728,2194,332,1134
gornji grad,2019,662,2163,338,1163
gornji grad,2020,636,2134,359,1139
gornji grad,2021,591,2125,385,1149
gornji grad,2022,613,2199,403,1183
gornji grad,2023,600,2215,412,1203
gornji grad,2024,590,2250,425,1235
gornji petrovci,2011,1008,1929,164,757
gornji petrovci,2012,975,1913,176,762
gornji petrovci,2013,936,1902,181,785
gornji petrovci,2014,902,1867,197,768
gornji petrovci,2015,869,1846,196,781
gornji petrovci,2016,835,1833,206,792
gornji petrovci,2017,808,1836,215,813
gornji petrovci,2018,763,1789,219,807
gornji petrovci,2019,731,1757,211,815
gornji petrovci,2020,710,1767,223,834
gornji petrovci,2021,699,1803,243,861
gornji petrovci,2022,673,1772,251,848
gornji petrovci,2023,653,1754,246,855
gornji petrovci,2024,638,1771,249,884
grad,2011,1029,1990,110,851
grad,2012,993,1973,127,853
grad,2013,979,1962,130,853
grad,2014,953,1947,144,850
grad,2015,918,1942,158,866
grad,2016,883,1920,168,869
grad,2017,846,1869,170,853
grad,2018,829,1870,172,869
grad,2019,785,1836,183,868
grad,2020,753,1796,189,854
grad,2021,733,1834,201,900
grad,2022,696,1813,211,906
grad,2023,669,1759,214,876
grad,2024,654,1737,216,867
grosuplje,2011,4032,15861,3188,8641
grosuplje,2012,3931,16057,3408,8718
grosuplje,2013,3835,16187,3544,8808
grosuplje,2014,3719,16233,3767,8747
grosuplje,2015,3630,16337,3932,8775
grosuplje,2016,3576,16384,4061,8747
grosuplje,2017,3525,16580,4301,8754
grosuplje,2018,3511,16892,4438,8943
grosuplje,2019,3474,17220,4592,9154
grosuplje,2020,3460,17484,4674,9350
grosuplje,2021,3470,17543,4719,9354
grosuplje,2022,3421,17552,4810,9321
grosuplje,2023,3463,17805,4997,9345
grosuplje,2024,3517,18121,5182,9422
hodoš/hodos,2011,170,279,16,93
hodoš/hodos,2012,214,343,19,110
hodoš/hodos,2013,214,342,18,110
hodoš/hodos,2014,203,327,20,104
hodoš/hodos,2015,209,329,17,103
hodoš/hodos,2016,205,335,22,108
hodoš/hodos,2017,200,332,22,110
hodoš/hodos,2018,197,330,21,112
hodoš/hodos,2019,189,318,21,108
hodoš/hodos,2020,192,319,21,106
hodoš/hodos,2021,182,328,26,120
hodoš/hodos,2022,179,323,27,117
hodoš/hodos,2023,173,317,28,116
hodoš/hodos,2024,162,308,30,116
horjul,2011,645,2389,366,1378
horjul,2012,627,2377,397,1353
horjul,2013,610,2399,417,1372
horjul,2014,612,2418,450,1356
horjul,2015,596,2431,489,1346
horjul,2016,591,2450,509,1350
horjul,2017,576,2451,527,1348
horjul,2018,564,2468,542,1362
horjul,2019,550,2475,548,1377
horjul,2020,539,2482,552,1391
horjul,2021,526,2441,546,1369
horjul,2022,506,2456,575,1375
horjul,2023,523,2473,599,1351
horjul,2024,516,2501,610,1375
hoče - slivnica,2011,2231,9312,1611,5470
hoče - slivnica,2012,2183,9405,1724,5498
hoče - slivnica,2013,2124,9600,1782,5694
hoče - slivnica,2014,2069,9615,1914,5632
hoče - slivnica,2015,1995,9576,1997,5584
hoče - slivnica,2016,1918,9640,2061,5661
hoče - slivnica,2017,1903,9646,2169,5574
hoče - slivnica,2018,1825,9752,2225,5702
hoče - slivnica,2019,1783,10079,2307,5989
hoče - slivnica,2020,1802,10034,2380,5852
hoče - slivnica,2021,1780,10009,2474,5755
hoče - slivnica,2022,1762,9976,2516,5698
hoče - slivnica,2023,1771,10132,2639,5722
hoče - slivnica,2024,1807,10246,2716,5723
hrastnik,2011,3212,8772,992,4568
hrastnik,2012,3054,8683,1068,4561
hrastnik,2013,2938,8528,1107,4483
hrastnik,2014,2861,8408,1154,4393
hrastnik,2015,2770,8268,1193,4305
hrastnik,2016,2667,8171,1215,4289
hrastnik,2017,2578,8120,1257,4285
hrastnik,2018,2488,8029,1260,4281
hrastnik,2019,2398,7988,1299,4291
hrastnik,2020,2332,7980,1335,4313
hrastnik,2021,2244,7914,1338,4332
hrastnik,2022,2170,7833,1337,4326
hrastnik,2023,2158,7858,1372,4328
hrastnik,2024,2129,7859,1409,4321
hrpelje - kozina,2011,1254,3669,459,1956
hrpelje - kozina,2012,1214,3711,520,1977
hrpelje - kozina,2013,1178,3740,549,2013
hrpelje - kozina,2014,1132,3695,582,1981
hrpelje - kozina,2015,1136,3731,621,1974
hrpelje - kozina,2016,1109,3764,675,1980
hrpelje - kozina,2017,1073,3762,710,1979
hrpelje - kozina,2018,1049,3791,734,2008
hrpelje - kozina,2019,1027,3839,759,2053
hrpelje - kozina,2020,1021,3940,807,2112
hrpelje - kozina,2021,1070,4159,874,2215
hrpelje - kozina,2022,1085,4252,910,2257
hrpelje - kozina,2023,1105,4377,958,2314
hrpelje - kozina,2024,1081,4421,984,2356
idrija,2011,3537,10160,1691,4932
idrija,2012,3474,10213,1794,4945
