obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income"
dol pri ljubljani,2016,12809.78,9641.83,572.87,1942.36,652.73
dol pri ljubljani,2017,13263.08,10032.12,576.41,1985.18,669.37
dol pri ljubljani,2018,13674.25,10637.8,601.59,2012.53,422.34
dol pri ljubljani,2019,14950.06,11385.65,611.31,2105.87,847.23
dol pri ljubljani,2020,14940.92,11674.81,642.51,2269.47,354.12
dol pri ljubljani,2021,16078.14,12471.35,672.04,2429.81,504.94
dol pri ljubljani,2022,17488.04,13465.41,712.98,2661.56,648.09
dol pri ljubljani,2023,19641.92,15243.86,699.97,2827.34,870.76
dolenjske toplice,2014,11066.6,8228.14,469.05,1968.5,400.91
dolenjske toplice,2015,11143.56,8414.6,479.5,1961.21,288.25
dolenjske toplice,2016,11748.42,8865.09,499.66,1988.27,395.4
dolenjske toplice,2017,13322.21,9310.03,z,2029.2,z
dolenjske toplice,2018,12979.36,10025.42,523.04,2097.07,333.82
dolenjske toplice,2019,13596.42,10551.05,573.39,2155.58,316.41
dolenjske toplice,2020,14218.45,10823.9,608.65,2402.05,383.85
dolenjske toplice,2021,15056.62,11556.86,633.63,2539.35,326.78
dolenjske toplice,2022,16274.36,12427.95,684.45,2741.89,420.06
dolenjske toplice,2023,18012.84,13875.98,649.9,2902.31,584.65
domžale,2014,12176.37,9061.67,549.57,2014.44,550.7
domžale,2015,12277.24,9231.75,542.26,2022.88,480.34
domžale,2016,12717.06,9650,552.74,2041.87,472.45
domžale,2017,13252.61,10044.33,564.63,2092.38,551.27
domžale,2018,13932.26,10637.59,572.78,2142.12,579.76
domžale,2019,14690.73,11248.08,612.18,2212.88,617.59
domžale,2020,14949.23,11417.66,644.72,2352.29,534.55
domžale,2021,16008.6,12300.41,667.91,2480.6,559.68
domžale,2022,17578.52,13340.83,705.41,2675.18,857.1
domžale,2023,19493.13,14947.35,779.58,2821.08,945.12
dornava,2014,8711.88,6168.44,901.73,1469.65,172.05
dornava,2015,8861.02,6321.85,903.5,1488.3,147.37
dornava,2016,9456.58,6724.26,935.13,1537.39,259.8
dornava,2017,10010.59,7189.87,1089.73,1609.06,121.93
dornava,2018,10637.83,7742.09,1056.29,1684.43,155.02
dornava,2019,11575.67,8378.96,1292.58,z,z
dornava,2020,12011.72,8567.29,1375.83,z,z
dornava,2021,13028.78,9455.62,z,2092.9,z
dornava,2022,14109.18,10326.48,1387.73,2221.05,173.91
dornava,2023,15431.99,11373.4,1409.67,2388.32,260.61
dravograd,2014,10513.39,7266.14,z,2028.14,z
dravograd,2015,10429.16,7571.71,598.89,2066.3,192.26
dravograd,2016,10862.68,7942.62,632.35,2094.94,192.77
dravograd,2017,11194.83,8171.95,635.62,2167.74,219.52
dravograd,2018,11743.94,8547.06,626.85,2254.14,315.89
dravograd,2019,11992.62,8721.16,640.73,2326.21,304.51
dravograd,2020,12998.98,9530.27,z,2478.91,z
dravograd,2021,14056.58,10487.86,716.06,2630.43,222.23
dravograd,2022,15472.71,11266.6,z,2893.99,z
dravograd,2023,16875.6,12521.46,881.08,3094.6,378.46
duplek,2014,9509.64,7088.13,608.62,1582.36,230.53
duplek,2015,9707.63,7312.96,576.6,1622.11,195.96
duplek,2016,10050.66,7613.43,566.89,1689.24,181.1
duplek,2017,10285.13,7874.39,595.36,1676.25,139.13
duplek,2018,10872.07,8328.59,636.19,1719.73,187.56
duplek,2019,11523.44,8891.49,669.15,1793.33,169.46
duplek,2020,12464.6,9542.88,720.17,2055.14,146.41
duplek,2021,13385.09,10411.28,683.45,2146.39,143.97
duplek,2022,14424.75,11106.92,721.32,2371.31,225.21
duplek,2023,15947.46,12446.57,714.35,2519.26,267.29
gorenja vas - poljane,2014,10104.51,7760.63,620.41,1514.88,208.6
gorenja vas - poljane,2015,10462.75,8078.45,639.75,1521.06,223.49
gorenja vas - poljane,2016,10665.24,8310.68,644.67,1527.95,181.94
