obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Basic or less,Education - TOTAL,Tertiary,Upper secondary,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Natural increase,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for women
beltinci,2021,12636.22,9331.81,802.51,2396.29,105.61,1950,6922,1235,3737,41.9,47.1,36.5,21,22.7,19.2,79,77.3,80.8,-15,39,13,37,4.6,17,21,4,2.6,113,224,111,27.6,22,34,12,4.2,135,263,128,32.4,22,39,17,4.8,5,13,8,1.6,27,52,25,6.4,61.3,61.8,60.8
beltinci,2022,13741.09,10149.16,835.95,2603.22,152.76,1910,6951,1275,3766,41.4,46.3,36.2,20.9,22.7,19,79.1,77.3,81,-48,20,5,-23,-2.8,31,46,15,5.7,161,321,160,39.6,24,51,27,6.3,183,341,158,42,22,20,-2,2.5,-7,5,12,0.6,15,25,10,3.1,63.5,64.2,62.7
beltinci,2023,15407.52,11451.03,853.76,2768.85,333.89,1862,6935,1301,3772,40.1,45,34.8,21.1,23.4,18.6,78.9,76.6,81.4,-35,12,15,-8,-1,20,37,17,4.6,119,252,133,31.1,36,52,16,6.4,142,264,122,32.6,23,12,-11,1.5,16,15,-1,1.9,39,27,-12,3.3,64.4,65.5,63.3
benedikt,2014,8893.08,7101.81,639.81,1052.64,98.82,708,2017,234,1075,35.5,36.9,33.7,19,20.5,17.1,81,79.5,82.9,5,3,-10,-2,-0.8,7,16,9,6.5,44,93,49,37.7,4,6,2,2.4,47,96,49,39,3,3,0,1.2,-3,-10,-7,-4.1,0,-7,-7,-2.8,56.1,62.9,48.7
benedikt,2015,9247.47,7365.02,692.28,1084.26,105.91,695,2029,259,1075,35.2,37.1,33,19.1,21.1,16.7,80.9,78.9,83.3,12,26,-8,30,12.2,11,17,6,6.9,42,84,42,34.1,4,9,5,3.7,47,110,63,44.7,5,26,21,10.6,-7,-8,-1,-3.3,-2,18,20,7.3,55.5,61.2,49.4
benedikt,2016,9402.23,7479.24,644.1,1126.61,152.29,678,2055,276,1101,38.1,39.2,36.8,18.9,19.8,17.9,81.1,80.2,82.1,10,-9,-6,-5,-2,7,16,9,6.4,63,128,65,51.1,9,10,1,4,56,119,63,47.5,-7,-9,-2,-3.6,2,-6,-8,-2.4,-5,-15,-10,-6,54.7,58,51.2
benedikt,2017,9400.9,7457.32,651.8,1173.6,118.18,658,2062,290,1114,36.9,39.2,34.3,18.1,19.7,16.3,81.9,80.3,83.7,9,35,-15,29,11.6,15,20,5,8,43,99,56,39.5,4,5,1,2,68,134,66,53.5,25,35,10,14,-11,-15,-4,-6,14,20,6,8,56.5,59.4,53.3
benedikt,2018,9875.45,7929.1,652.83,1195.81,97.71,645,2080,302,1133,37.9,40.2,35.3,17.8,19.3,16.1,82.2,80.7,83.9,15,43,5,63,24.6,5,9,4,3.5,47,108,61,42.2,10,14,4,5.5,69,151,82,59,22,43,21,16.8,5,5,0,2,27,48,21,18.8,59.1,60.9,57.2
benedikt,2019,10475.11,8233.65,674.95,z,z,606,2108,317,1185,38.5,39.3,37.6,18.7,19.7,17.6,81.3,80.3,82.4,-2,27,13,38,14.7,7,11,4,4.3,54,104,50,40.2,16,24,8,9.3,78,131,53,50.7,24,27,3,10.4,9,13,4,5,33,40,7,15.5,59,61.2,56.6
benedikt,2020,12152.81,9914.55,737.02,1380.88,120.36,604,2154,337,1213,37.8,41.3,34.1,18,19.4,16.6,82,80.6,83.4,3,-8,10,5,1.9,10,14,4,5.4,86,170,84,65.1,16,24,8,9.2,78,162,84,62,-8,-8,0,-3.1,6,10,4,3.8,-2,2,4,0.8,58.1,57.8,58.5
benedikt,2021,13018.42,10714.3,734.04,1483.47,86.61,594,2150,350,1206,37.2,40.7,33.4,18.2,20,16.2,81.8,80,83.8,4,53,10,67,25.2,5,7,2,2.6,53,111,58,41.7,6,17,11,6.4,75,164,89,61.6,22,53,31,19.9,1,10,9,3.8,23,63,40,23.7,59.2,59.6,58.8
benedikt,2022,14325.86,11724.7,815.86,z,z,600,2204,384,1220,38.4,41,35.9,17.4,19.6,15.2,82.6,80.4,84.8,12,44,-3,53,19.6,11,17,6,6.3,65,132,67,48.8,9,14,5,5.2,84,176,92,65.1,19,44,25,16.3,-2,-3,-1,-1.1,17,41,24,15.2,60.6,60.2,60.9
benedikt,2023,15727.91,12964.82,778.94,1760.29,223.86,575,2254,411,1268,40.7,43.1,38.2,19.1,21.1,17,80.9,78.9,83,1,-18,7,-10,-3.7,6,12,6,4.4,58,124,66,45.4,16,19,3,7,53,106,53,38.8,-5,-18,-13,-6.6,10,7,-3,2.6,5,-11,-16,-4,62,61.5,62.5
bistrica ob sotli,2014,8390.76,5979.58,561.16,1703.88,146.13,457,1172,170,545,57.2,56.2,58.5,29.9,29.6,30.3,70.1,70.4,69.7,0,-8,1,-7,-5.1,1,2,1,1.4,24,51,27,36.9,0,3,3,2.2,20,43,23,31.1,-4,-8,-4,-5.8,-1,1,2,0.7,-5,-7,-2,-5.1,58.1,66,49.5
bistrica ob sotli,2015,8645.58,6116.27,692.01,1706.63,130.66,458,1179,180,541,57.9,54.5,61.9,29.9,28.9,31,70.1,71.1,69,-5,-9,-3,-17,-12.4,1,3,2,2.2,29,65,36,47.3,0,0,0,0,22,56,34,40.8,-7,-9,-2,-6.6,-1,-3,-2,-2.2,-8,-12,-4,-8.7,56.3,62.6,49.3
bistrica ob sotli,2016,9272.58,6563.19,z,1760.07,z,431,1163,192,540,58.6,55,62.6,30,29.2,30.8,70,70.8,69.2,0,-15,3,-12,-8.8,2,2,0,1.5,31,69,38,50.4,1,5,4,3.7,20,54,34,39.5,-11,-15,-4,-11,-1,3,4,2.2,-12,-12,0,-8.8,56.9,60.5,53
bistrica ob sotli,2017,9491.44,6919.02,z,1778.41,z,428,1163,200,535,56.4,53,60.2,26.7,25.1,28.5,73.3,74.9,71.5,-4,5,-8,-7,-5.2,3,9,6,6.7,21,46,25,34,0,1,1,0.7,20,51,31,37.7,-1,5,6,3.7,-3,-8,-5,-5.9,-4,-3,1,-2.2,59.9,64.2,55.2
bistrica ob sotli,2018,10042.5,7376.92,z,1852.81,z,417,1161,200,544,55.8,53.9,58.1,27,27.6,26.3,73,72.4,73.7,-8,-12,1,-19,-14.1,0,3,3,2.2,25,61,36,45.2,1,4,3,3,19,49,30,36.3,-6,-12,-6,-8.9,1,1,0,0.7,-5,-11,-6,-8.1,62.3,66.9,57.3
bistrica ob sotli,2019,10581.92,7862.05,z,1930.38,z,388,1138,195,555,54.4,52.1,57,26,27.8,24,74,72.2,76,0,8,1,9,6.8,0,1,1,0.8,22,43,21,32.3,1,2,1,1.5,22,51,29,38.3,0,8,8,6,1,1,0,0.8,1,9,8,6.8,63.7,69.8,57.2
bistrica ob sotli,2020,11338.05,8382.79,z,2066.73,z,370,1145,206,569,49.9,47.5,52.7,23.1,24.2,21.8,76.9,75.8,78.2,-9,-2,28,17,12.7,1,1,0,0.7,41,81,40,60.4,13,29,16,21.6,41,79,38,58.9,0,-2,-2,-1.5,12,28,16,20.9,12,26,14,19.4,64.6,70.7,58.2
bistrica ob sotli,2021,12580.65,9613.09,z,2093.61,z,361,1167,223,583,43.1,41.2,45.3,19.4,20.1,18.6,80.6,79.9,81.4,-13,20,-1,6,4.4,5,7,2,5.1,21,41,20,29.9,3,6,3,4.4,33,61,28,44.5,12,20,8,14.6,-2,-1,1,-0.7,10,19,9,13.9,65.8,73.3,58.2
bistrica ob sotli,2022,13531.8,10305.68,z,2270.92,z,343,1174,232,599,42.2,43.7,40.4,20,21.3,18.4,80,78.7,81.6,-4,13,-16,-7,-5.1,8,19,11,13.9,33,68,35,49.8,2,3,1,2.2,38,81,43,59.3,5,13,8,9.5,-6,-16,-10,-11.7,-1,-3,-2,-2.2,68.5,76.4,60.3
bistrica ob sotli,2023,15119.25,11524.43,791.12,2456.06,347.64,323,1171,244,604,32.4,31.8,33.2,18.9,21.2,15.9,81.1,78.8,84.1,-5,-1,0,-6,-4.5,2,8,6,5.9,28,66,38,49,7,8,1,5.9,35,65,30,48.3,7,-1,-8,-0.7,5,0,-5,0,12,-1,-13,-0.7,68.3,76.5,59.5
bled,2014,11659.74,7979.02,518.61,2517.74,644.37,1279,7072,1836,3957,91.8,94,89.4,36.8,40.1,33.3,63.2,59.9,66.7,23,-72,-14,-63,-7.7,30,55,25,6.8,234,475,241,58.3,16,41,25,5,181,403,222,49.5,-53,-72,-19,-8.8,-14,-14,0,-1.7,-67,-86,-19,-10.6,57.5,60.4,54.5
bled,2015,11799.72,8121.12,505.25,2540.09,633.26,1232,7020,1876,3912,90.1,89.2,91,37.6,40.6,34.3,62.4,59.4,65.7,13,-111,5,-93,-11.5,30,57,27,7,228,476,248,58.9,33,62,29,7.7,175,365,190,45.1,-53,-111,-58,-13.7,3,5,2,0.6,-50,-106,-56,-13.1,58.8,61.9,55.6
bled,2016,12326.17,8638.34,477.54,2633.13,577.15,1163,6935,1896,3876,89,85.7,92.8,37.2,39,35.2,62.8,61,64.8,0,-52,-1,-53,-6.6,31,61,30,7.6,180,396,216,49.5,35,60,25,7.5,164,344,180,43,-16,-52,-36,-6.5,4,-1,-5,-0.1,-12,-53,-41,-6.6,61.8,64.8,58.6
