regija,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Employment rate,Employment rate for men,Employment rate for women,Natural increase,Net migration between statistical regions,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other regions per 1000 population,Emigrants to other statistical regions - Men,Emigrants to other statistical regions - Total,Emigrants to other statistical regions - Women,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 populationv,Immigrants from other regions per 1000 population,Immigrants from other statistical regions - Men,Immigrants from other statistical regions - Total,Immigrants from other statistical regions - Women,Net migration between statistical regions - Men,Net migration between statistical regions - Total,Net migration between statistical regions - Women,Net migration between statistical regions per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - women
goriška,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goriška,1995,,,,,,,,,-136.0,-99.0,79.0,-156.0,-1.3,8.0,19.0,11.0,0.2,2.2,121.0,261.0,140.0,50.0,98.0,48.0,0.8,1.3,75.0,162.0,87.0,-46.0,-99.0,-53.0,-0.8,42.0,79.0,37.0,0.7,-4.0,-20.0,-16.0,-0.2,,,,,,,,,
goriška,1996,,,,,,,,,-130.0,-43.0,38.0,-135.0,-1.1,11.0,25.0,14.0,0.2,2.1,99.0,257.0,158.0,33.0,63.0,30.0,0.5,1.8,98.0,214.0,116.0,-1.0,-43.0,-42.0,-0.4,22.0,38.0,16.0,0.3,21.0,-5.0,-26.0,0.0,,,,,,,,,
goriška,1997,,,,,,,,,-206.0,0.0,19.0,-187.0,-1.6,16.0,27.0,11.0,0.2,1.9,88.0,226.0,138.0,14.0,46.0,32.0,0.4,1.9,93.0,226.0,133.0,5.0,0.0,-5.0,0.0,-2.0,19.0,21.0,0.2,3.0,19.0,16.0,0.2,,,,,,,,,
goriška,1998,,,,,,,,,-244.0,-88.0,-224.0,-556.0,-4.6,405.0,488.0,83.0,4.1,2.5,128.0,303.0,175.0,188.0,264.0,76.0,2.2,1.8,103.0,215.0,112.0,-25.0,-88.0,-63.0,-0.7,-217.0,-224.0,-7.0,-1.9,-242.0,-312.0,-70.0,-2.6,,,,,,,,,
goriška,1999,,,,,,,,,-169.0,-80.0,306.0,57.0,0.5,159.0,199.0,40.0,1.7,2.3,123.0,281.0,158.0,423.0,505.0,82.0,4.2,1.7,96.0,201.0,105.0,-27.0,-80.0,-53.0,-0.7,264.0,306.0,42.0,2.6,237.0,226.0,-11.0,1.9,,,,,,,,,
goriška,2000,,,,,,,,,-179.0,-50.0,260.0,31.0,0.3,141.0,186.0,45.0,1.5,2.4,120.0,283.0,163.0,330.0,446.0,116.0,3.7,1.9,94.0,233.0,139.0,-26.0,-50.0,-24.0,-0.4,189.0,260.0,71.0,2.2,163.0,210.0,47.0,1.7,,,,,,,,,
goriška,2001,,,,,,,,,-140.0,-40.0,30.0,-150.0,-1.2,332.0,419.0,87.0,3.5,2.7,141.0,322.0,181.0,308.0,449.0,141.0,3.7,2.3,135.0,282.0,147.0,-6.0,-40.0,-34.0,-0.3,-24.0,30.0,54.0,0.2,-30.0,-10.0,20.0,-0.1,,,,,,,,,
goriška,2002,,,,,,57.7,62.2,52.9,-243.0,-44.0,227.0,-60.0,-0.5,294.0,442.0,148.0,3.7,2.8,147.0,331.0,184.0,475.0,669.0,194.0,5.6,2.4,134.0,287.0,153.0,-13.0,-44.0,-31.0,-0.4,181.0,227.0,46.0,1.9,168.0,183.0,15.0,1.5,,,,,,,,,
goriška,2003,,,,,,57.0,61.5,52.2,-268.0,-83.0,329.0,-22.0,-0.2,229.0,353.0,124.0,2.9,2.4,112.0,293.0,181.0,461.0,682.0,221.0,5.7,1.8,101.0,210.0,109.0,-11.0,-83.0,-72.0,-0.7,232.0,329.0,97.0,2.7,221.0,246.0,25.0,2.1,,,,,,,,,
goriška,2004,,,,,,57.0,61.3,52.3,-138.0,-128.0,110.0,-156.0,-1.3,469.0,602.0,133.0,5.0,3.0,148.0,359.0,211.0,540.0,712.0,172.0,6.0,1.9,92.0,231.0,139.0,-56.0,-128.0,-72.0,-1.1,71.0,110.0,39.0,0.9,15.0,-18.0,-33.0,-0.2,,,,,,,,,
goriška,2005,,,,,,59.1,63.8,54.0,-198.0,-134.0,382.0,50.0,0.4,471.0,574.0,103.0,4.8,3.3,195.0,390.0,195.0,741.0,956.0,215.0,8.0,2.1,135.0,256.0,121.0,-60.0,-134.0,-74.0,-1.1,270.0,382.0,112.0,3.2,210.0,248.0,38.0,2.1,,,,,,,,,
goriška,2006,,,,,,59.9,64.9,54.4,-167.0,-262.0,472.0,43.0,0.4,706.0,854.0,148.0,7.1,4.4,234.0,529.0,295.0,1083.0,1326.0,243.0,11.1,2.2,127.0,267.0,140.0,-107.0,-262.0,-155.0,-2.2,377.0,472.0,95.0,3.9,270.0,210.0,-60.0,1.8,,,,,,,,,
goriška,2007,,,,,,61.7,67.4,55.6,-5.0,-254.0,1190.0,931.0,7.8,619.0,867.0,248.0,7.2,4.6,249.0,554.0,305.0,1700.0,2057.0,357.0,17.1,2.5,130.0,300.0,170.0,-119.0,-254.0,-135.0,-2.1,1081.0,1190.0,109.0,9.9,962.0,936.0,-26.0,7.8,,,,,,,,,
goriška,2008,,,,,,63.4,69.0,57.2,33.0,-1082.0,1254.0,205.0,1.7,522.0,662.0,140.0,5.6,29.3,1692.0,3480.0,1788.0,1517.0,1916.0,399.0,16.2,20.2,1267.0,2398.0,1131.0,-425.0,-1082.0,-657.0,-9.1,995.0,1254.0,259.0,10.6,570.0,172.0,-398.0,1.5,,,,,,,,,
goriška,2009,,,,,,61.9,66.9,56.3,49.0,-765.0,737.0,21.0,0.2,1027.0,1253.0,226.0,10.5,23.1,1475.0,2756.0,1281.0,1548.0,1990.0,442.0,16.7,16.7,1100.0,1991.0,891.0,-375.0,-765.0,-390.0,-6.4,521.0,737.0,216.0,6.2,146.0,-28.0,-174.0,-0.2,97.0,97.7,96.2,87.4,86.5,88.5,12.6,13.5,11.5
goriška,2010,,,,,,59.4,63.8,54.6,148.0,-133.0,34.0,49.0,0.4,727.0,934.0,207.0,7.8,21.1,1373.0,2519.0,1146.0,587.0,968.0,381.0,8.1,20.0,1334.0,2386.0,1052.0,-39.0,-133.0,-94.0,-1.1,-140.0,34.0,174.0,0.3,-179.0,-99.0,80.0,-0.8,96.6,97.2,95.9,86.8,85.7,88.1,13.2,14.3,11.9
goriška,2011,,,,,,58.3,62.1,54.1,169.0,-297.0,167.0,39.0,0.3,428.0,608.0,180.0,5.1,24.0,1668.0,2865.0,1197.0,447.0,775.0,328.0,6.5,21.6,1409.0,2568.0,1159.0,-259.0,-297.0,-38.0,-2.5,19.0,167.0,148.0,1.4,-240.0,-130.0,110.0,-1.1,96.7,97.1,96.1,86.5,85.2,88.1,13.5,14.8,11.9
goriška,2012,,,,,,57.6,61.0,53.9,8.0,-359.0,120.0,-231.0,-1.9,457.0,701.0,244.0,5.9,23.8,1474.0,2842.0,1368.0,456.0,821.0,365.0,6.9,20.8,1330.0,2483.0,1153.0,-144.0,-359.0,-215.0,-3.0,-1.0,120.0,121.0,1.0,-145.0,-239.0,-94.0,-2.0,96.0,96.1,96.0,86.1,84.7,87.8,13.9,15.3,12.2
goriška,2013,,,,,,56.8,59.8,53.5,-14.0,-744.0,132.0,-626.0,-5.3,351.0,567.0,216.0,4.8,25.9,1542.0,3088.0,1546.0,405.0,699.0,294.0,5.9,19.7,1290.0,2344.0,1054.0,-252.0,-744.0,-492.0,-6.3,54.0,132.0,78.0,1.1,-198.0,-612.0,-414.0,-5.1,96.3,96.3,96.2,86.2,84.9,87.8,13.8,15.1,12.2
goriška,2014,10615.65,7379.42,526.14,2307.49,402.61,57.9,61.3,54.0,-72.0,-151.0,35.0,-188.0,-1.6,367.0,625.0,258.0,5.3,22.6,1386.0,2674.0,1288.0,400.0,660.0,260.0,5.6,21.3,1239.0,2523.0,1284.0,-147.0,-151.0,-4.0,-1.3,33.0,35.0,2.0,0.3,-114.0,-116.0,-2.0,-1.0,96.2,96.2,96.1,85.7,84.4,87.4,14.3,15.6,12.6
